id,avatar,user_id,role,satker_id,is_verified,is_admin
26,images/avatar.png,20,dayatif,109,t,t
22,images/avatar.png,17,dayatif,213,t,f
30,images/avatar.png,23,psm,103,t,t
27,images/avatar.png,21,dayatif,15,t,t
34,images/avatar.png,27,psm,16,t,f
36,images/avatar.png,28,psm,122,t,f
39,images/avatar.png,31,dayatif,137,t,f
10,profile_avatars/foto_ijazah.jpg,6,dayatif,124,f,f
41,images/avatar.png,33,dayatif,18,t,f
12,profile_avatars/wpid-sd-olivier-giroud-11.jpg,7,psm,112,t,f
42,images/avatar.png,34,dayatif,18,t,t
38,images/avatar.png,30,psm,16,t,t
37,images/avatar.png,29,psm,122,t,t
28,profile_avatars/WhatsApp_Image_2024-03-11_at_09.05.24.jpeg,22,dayatif,213,t,t
17,images/avatar.png,12,psm,15,t,f
40,images/avatar.png,32,dayatif,137,t,t
31,images/avatar.png,24,psm,15,t,t
13,avatar.jpg,8,,,f,f
32,images/avatar.png,25,psm,213,t,t
24,images/avatar.png,18,,,f,f
18,profile_avatars/avatar-1_TBFtWvx_2h9VeBM.png,13,psm,109,t,f
1,avatar.jpg,1,psm,,t,f
15,images/avatar.png,10,psm,213,f,f
16,images/avatar.png,11,dayatif,40,t,f
21,images/avatar.png,16,psm,213,t,f
25,images/avatar.png,19,psm,41,f,f
