id,nama_satker,parent_id,level,kabupaten_id,provinsi_id,order,satker_order
213,BNN Pusat,,2,,,"0","0"
214,Direktorat Peran Serta Masyarakat,,2,,,1,1
215,Direktorat Pemberdayaan Alternatif,,2,,,1,2
3,BNNP Nanggroe Aceh Darussalam,,"0",,11,2,3
4,BNNP Sumatera Utara,,"0",,12,2,4
5,BNNP Sumatera Barat,,"0",,13,2,5
6,BNNP Riau,,"0",,14,2,6
7,BNNP Jambi,,"0",,15,2,7
8,BNNP Bengkulu,,"0",,17,2,8
9,BNNP Sumatera Selatan,,"0",,16,2,9
10,BNNP Lampung,,"0",,18,2,10
11,BNNP Kepulauan Riau ,,"0",,21,2,11
12,BNNP  Kepulauan Bangka Belitung,,"0",,19,2,12
13,BNNP Banten,,"0",,36,2,13
14,BNNP DKI Jakarta,,"0",,31,2,14
15,BNNP Jawa Barat,,"0",,32,2,15
16,BNNP Jawa Tengah,,"0",,33,2,16
17,BNNP Daerah Istimewa Yogyakarta,,"0",,34,2,17
18,BNNP Jawa Timur,,"0",,35,2,18
19,BNNP Kalimantan Barat,,"0",,61,2,19
20,BNNP Kalimantan Tengah,,"0",,62,2,20
21,BNNP Kalimantan Timur,,"0",,64,2,21
22,BNNP Kalimantan Selatan,,"0",,63,2,22
23,BNNP Kalimantan Utara,,"0",,65,2,23
24,BNNP Sulawesi Utara,,"0",,71,2,24
25,BNNP Gorontalo,,"0",,75,2,25
26,BNNP Sulawesi Tengah,,"0",,72,2,26
27,BNNP Sulawesi Barat,,"0",,76,2,27
28,BNNP Sulawesi Selatan,,"0",,73,2,28
29,BNNP Sulawesi Tenggara,,"0",,74,2,29
30,BNNP Bali,,"0",,51,2,30
31,BNNP Nusa Tenggara Barat,,"0",,52,2,31
32,BNNP Nusa Tenggara Timur,,"0",,53,2,32
33,BNNP Maluku Utara,,"0",,82,2,33
34,BNNP Maluku ,,"0",,81,2,34
35,BNNP Papua,,"0",,91,2,35
36,BNNP Papua Barat,,"0",,92,2,36
37,BNN Kabupaten Pidie Jaya,,1,1118,11,3,37
38,BNN Kabupaten Bireuen,3,1,1111,11,3,38
39,BNN Kota Langsa,3,1,1174,11,3,39
40,BNN Kota Lhokseumawe,3,1,1173,11,3,40
41,BNN Kabupaten Aceh Selatan,3,1,1101,11,3,41
42,BNN Kabupaten Gayo Lues,3,1,1113,11,3,42
43,BNN Kota Sabang,3,1,1172,11,3,43
44,BNN Kabupaten Aceh Tamiang,3,1,1116,11,3,44
45,BNN Kota Banda Aceh,3,1,1171,11,3,45
46,BNN Kabupaten Pidie,3,1,1107,11,3,46
47,BNN Kabupaten Asahan,4,1,1209,12,3,47
48,BNN Kabupaten Deli Serdang,,1,1207,12,3,48
49,BNN Kabupaten Langkat,4,1,1205,12,3,49
50,BNN Kabupaten Mandailing Natal,4,1,1213,12,3,50
51,BNN Kabupaten Serdang Bedagai,4,1,1218,12,3,51
52,BNN Kabupaten Tapanuli Selatan,4,1,1203,12,3,52
53,BNN Kota Pematang Siantar,4,1,1272,12,3,53
54,BNN Kabupaten Karo,4,1,1206,12,3,54
55,BNN Kota Binjai,4,1,1275,12,3,55
56,BNN Kota Tanjung Balai,4,1,1274,12,3,56
57,BNN Kota Gunungsitoli,4,1,1278,12,3,57
58,BNN Kabupaten Batu Bara,4,1,1219,12,3,58
59,BNN Kabupaten Labuhan Batu Utara,4,1,1223,12,3,59
60,BNN Kota Tebing Tinggi,4,1,1276,12,3,60
61,BNN Kabupaten Simalungun,4,1,1208,12,3,61
62,BNN Kota Payakumbuh,,1,1376,13,3,62
63,BNN Kota Sawahlunto,5,1,1373,13,3,63
64,BNN Kabupaten Solok,5,1,1302,13,3,64
65,BNN Kabupaten Pasaman Barat,5,1,1312,13,3,65
66,BNN Kota Pekanbaru ,6,1,1471,14,3,66
67,BNN Kabupaten Kuantan Singingi ,6,1,1409,14,3,67
68,BNN Kabupaten Pelalawan ,6,1,1405,14,3,68
69,BNN Kota Dumai,6,1,1472,14,3,69
70,BNN Kabupaten Batanghari,7,1,1504,15,3,70
71,BNN Kota Jambi,7,1,1571,15,3,71
72,BNN Kabupaten Tanjung Jabung Timur,,1,1507,15,3,72
73,BNN Kabupaten Bengkulu Selatan,8,1,1701,17,3,73
74,BNN Kota Bengkulu,8,1,1771,17,3,74
75,BNN Kota Prabumulih,9,1,1674,16,3,75
76,BNN Kota Pagar Alam,9,1,1672,16,3,76
77,BNN Kota Lubuk Linggau,9,1,1673,16,3,77
78,BNN Kabupaten Empat Lawang,9,1,1611,16,3,78
79,BNN Kabupaten Ogan Ilir,9,1,1610,16,3,79
80,BNN Kabupaten Ogan Komering Ilir,9,1,1602,16,3,80
81,BNN Kabupaten Muara Enim,9,1,1603,16,3,81
82,BNN Kabupaten Musi Rawas,9,1,1605,16,3,82
83,BNN Kabupaten Ogan Komering Ulu Timur,9,1,1608,16,3,83
84,BNN Kabupaten Lampung Selatan ,10,1,1801,18,3,84
85,BNN Kabupaten Tanggamus ,10,1,1806,18,3,85
86,BNN Kabupaten Lampung Timur,10,1,1807,18,3,86
87,BNN Kabupaten Way Kanan,,1,1808,18,3,87
88,BNN Kota Metro,10,1,1872,18,3,88
89,BNN Kota Tanjungpinang ,11,1,2172,21,3,89
90,BNN Kabupaten Karimun ,11,1,2102,21,3,90
91,BNN Kota Batam ,11,1,2171,21,3,91
92,BNN Kabupaten Belitung,12,1,1902,19,3,92
93,BNN Kota Pangkal Pinang ,12,1,1971,19,3,93
94,BNN Kabupaten Bangka ,12,1,1901,19,3,94
95,BNN Kabupaten Bangka Selatan,12,1,1903,19,3,95
96,BNN Kota Tangerang Selatan ,13,1,3674,36,3,96
97,BNN Kota Cilegon ,13,1,3672,36,3,97
98,BNN Kota Tangerang  ,13,1,3671,36,3,98
99,BNN Kota Jakarta Selatan ,14,1,3174,31,3,99
100,BNN Kota Jakarta Timur ,14,1,3175,31,3,100
101,BNN Kota Jakarta Utara ,14,1,3172,31,3,101
102,BNN Kabupaten Bogor ,15,1,3201,32,3,102
103,BNN Kabupaten Cianjur ,15,1,3203,32,3,103
104,BNN Kabupaten Ciamis ,15,1,3207,32,3,104
105,BNN Kabupaten Garut ,15,1,3205,32,3,105
106,BNN Kabupaten Karawang ,15,1,3215,32,3,106
107,BNN Kabupaten Kuningan ,15,1,3208,32,3,107
108,BNN Kota Depok ,15,1,3276,32,3,108
109,BNN Kota Bandung ,15,1,3273,32,3,109
110,BNN Kota Cimahi ,15,1,3277,32,3,110
111,BNN Kota Cirebon ,15,1,3274,32,3,111
112,BNN Kabupaten Sukabumi,15,1,3202,32,3,112
113,BNN Kabupaten Bandung Barat ,15,1,3217,32,3,113
114,BNN Kota Tasikmalaya,15,1,3278,32,3,114
115,BNN Kabupaten Sumedang,15,1,3211,32,3,115
116,BNN Kabupaten Batang ,15,1,3325,33,3,116
117,BNN Kabupaten Cilacap ,16,1,3301,33,3,117
118,BNN Kabupaten Kendal ,16,1,3324,33,3,118
119,BNN Kabupaten Purbalingga ,16,1,3303,33,3,119
120,BNN Kabupaten Temanggung ,16,1,3323,33,3,120
121,BNN Kabupaten Banyumas ,16,1,3302,33,3,121
122,BNN Kota Tegal ,16,1,3376,33,3,122
123,BNN Kabupaten Magelang,16,1,3308,33,3,123
124,BNN Kota Surakarta,16,1,3372,33,3,124
125,BNN Kabupaten Sleman ,17,1,3404,34,3,125
126,BNN Kota Yogyakarta ,17,1,3471,34,3,126
127,BNN Kabupaten Bantul,17,1,3402,34,3,127
128,BNN Kabupaten Blitar ,18,1,3505,35,3,128
129,BNN Kabupaten Gresik ,18,1,3525,35,3,129
130,BNN Kabupaten Kediri ,18,1,3506,35,3,130
131,BNN Kabupaten Lumajang ,18,1,3508,35,3,131
132,BNN Kabupaten Malang ,18,1,3507,35,3,132
133,BNN Kabupaten Nganjuk ,18,1,3518,35,3,133
134,BNN Kabupaten Sidoarjo ,18,1,3515,35,3,134
135,BNN Kabupaten Trenggalek ,18,1,3503,35,3,135
136,BNN Kabupaten Tulungagung ,18,1,3504,35,3,136
137,BNN Kota Batu ,18,1,3579,35,3,137
138,BNN Kota Kediri,18,1,3571,35,3,138
139,BNN Kota Malang ,18,1,3573,35,3,139
140,BNN Kota Surabaya ,18,1,3578,35,3,140
141,BNN Kota Mojokerto ,18,1,3576,35,3,141
142,BNN Kabupaten Sumenep ,18,1,3529,35,3,142
143,BNN Kabupaten Pasuruan,18,1,3514,35,3,143
144,BNN Kabupaten Tuban,18,1,3523,35,3,144
145,BNN Kabupaten Mempawah ,19,1,6102,61,3,145
146,BNN Kabupaten Sanggau ,19,1,6103,61,3,146
147,BNN Kota Pontianak ,19,1,6171,61,3,147
148,BNN Kota Singkawang ,19,1,6172,61,3,148
149,BNN Kabupaten Bengkayang ,19,1,6107,61,3,149
150,BNN Kabupaten Sintang ,19,1,6105,61,3,150
151,BNN Kabupaten Kubu Raya ,19,1,6112,61,3,151
152,BNN Kota Palangkaraya ,20,1,6271,62,3,152
153,BNN Kabupaten Kotawaringin Barat ,20,1,6201,62,3,153
154,BNN Kota Balikpapan ,21,1,6471,64,3,154
155,BNN Kota Samarinda ,21,1,6472,64,3,155
156,BNN Kota Bontang,21,1,6474,64,3,156
157,BNN Kabupaten Balangan ,22,1,6311,63,3,157
158,BNN Kota Banjar Baru ,22,1,6372,63,3,158
159,BNN Kota Banjarmasin ,22,1,6371,63,3,159
160,BNN Kabupaten Barito Kuala ,22,1,6304,63,3,160
161,BNN Kabupaten Hulu Sungai Selatan,22,1,6306,63,3,161
162,BNN Kabupaten Hulu Sungai Utara,22,1,6308,63,3,162
163,BNN Kabupaten Tanah Laut,22,1,6301,63,3,163
164,BNN Kabupaten Tabalong,22,1,6309,63,3,164
165,BNN Kota Tarakan ,23,1,6571,65,3,165
166,BNN Kota Nunukan,23,1,6503,65,3,166
167,BNN Kota Manado ,24,1,7171,71,3,167
168,BNN Kota Bitung ,24,1,7172,71,3,168
169,BNN Kabupaten Bolaang Mongondow ,24,1,7101,71,3,169
170,BNN Kabupaten Kepulauan Sangihe,24,1,7103,71,3,170
171,BNN Kota Gorontalo ,25,1,7571,75,3,171
172,BNN Kabupaten Bone Bolango ,25,1,7503,75,3,172
173,BNN Kabupaten Boalemo ,25,1,7502,75,3,173
174,BNN Kabupaten Gorontalo Utara,25,1,7505,75,3,174
176,BNN Kabupaten Donggala ,26,1,7203,72,3,176
177,BNN Kabupaten Morowali ,26,1,7206,72,3,177
178,BNN Kabupaten Poso ,26,1,7202,72,3,178
179,BNN Kota Palu ,26,1,7271,72,3,179
180,BNN Kabupaten Tojo Una Una ,26,1,7209,72,3,180
181,BNN Kabupaten Banggai Kepulauan ,26,1,7207,72,3,181
182,BNN Kabupaten Polewali Mandar,27,1,7604,76,3,182
183,BNN Kota Palopo ,28,1,7373,73,3,183
184,BNN Kabupaten Tana Toraja ,28,1,7318,73,3,184
185,BNN Kabupaten Bone ,28,1,7308,73,3,185
186,BNN Kota Kendari ,29,1,7471,74,3,186
187,BNN Kabupaten Kolaka ,29,1,7401,74,3,187
188,BNN Kabupaten Muna ,29,1,7403,74,3,188
189,BNN Kota Bau-bau,29,1,7472,74,3,189
190,BNN Kabupaten Badung ,30,1,5103,51,3,190
191,BNN Kota Denpasar ,30,1,5171,51,3,191
192,BNN Kabupaten Gianyar ,30,1,5104,51,3,192
193,BNN Kabupaten Buleleng,30,1,5108,51,3,193
194,BNN Kabupaten Karangasem,30,1,5107,51,3,194
195,BNN Kabupaten Klungkung,30,1,5105,51,3,195
196,BNN Kota Mataram ,31,1,5271,52,3,196
197,BNN Kabupaten Sumbawa Barat ,31,1,5207,52,3,197
198,BNN Kabupaten Bima ,31,1,5206,52,3,198
199,BNN Kabupaten Sumbawa  ,31,1,5204,52,3,199
200,BNN Kota Kupang ,32,1,5371,53,3,200
201,BNN Kabupaten Rote Ndao ,32,1,5314,53,3,201
202,BNN Kabupaten Belu ,32,1,5304,53,3,202
203,BNN Kota Tidore Kepulauan ,33,1,8272,82,3,203
204,BNN Kabupaten Halmahera Utara ,33,1,8203,82,3,204
205,BNN Kabupaten Pulau Morotai ,33,1,8207,82,3,205
206,BNN Kota Tual ,34,1,8172,81,3,206
207,BNN Kabupaten Buru Selatan ,34,1,8109,81,3,207
208,BNN Kabupaten Jayapura ,35,1,9103,91,3,208
209,BNN Kabupaten Mimika ,35,1,9109,91,3,209
210,BNN Kabupaten Gorontalo,25,1,7501,75,3,210
